filename, language, Markdown, JSON, Ruby, YAML, Gemfile, HTML, Ruby ERB, JavaScript, CoffeeScript, SCSS, comment, blank, total
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/site/reports_controller.rb, Ruby, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 5, 8, 47
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/site/selections_controller.rb, Ruby, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 11, 58
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/site/sessions_controller.rb, Ruby, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/site/users_controller.rb, Ruby, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 5, 47
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/users/confirmations_controller.rb, Ruby, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 22, 7, 31
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/users/omniauth_callbacks_controller.rb, Ruby, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 19, 10, 48
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/users/passwords_controller.rb, Ruby, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 25, 8, 35
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/users/registrations_controller.rb, Ruby, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 48, 13, 63
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/users/sessions_controller.rb, Ruby, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 19, 7, 28
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/users/unlocks_controller.rb, Ruby, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 22, 7, 31
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/helpers/answers_helper.rb, Ruby, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/helpers/application_helper.rb, Ruby, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/helpers/favorites_helper.rb, Ruby, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/helpers/game_records_helper.rb, Ruby, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/helpers/post_comment_helper.rb, Ruby, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
